Comparison	Genus	mean_g1	mean_g2	log2FoldChange	pvalue	p_adj
Group2_vs_Group1	Tuzzerella	2.922595719475108e-5	9.685871241242484e-6	-0.3048252363597234	1	1
Group2_vs_Group1	Cellulosilyticum	0	2.0623793866260146e-5	0	1	1
Group2_vs_Group1	Schwartzia	0	1.96224817267528e-5	0	1	1
Group2_vs_Group1	Megasphaera	1.8193700862589404e-4	1.8879571116307766e-4	0.048681026075686286	1	1
Group2_vs_Group1	Dialister	1.2973145473818313e-4	7.2443735706045445e-6	-0.6864438119170508	1	1
Group2_vs_Group1	Erysipelotrichaceae UCG-003	6.068454802326246e-5	0	0	1	1
Group2_vs_Group1	UCG-004	1.7628599096546306e-5	1.0414775257523847e-4	0.7034645235226537	1	1
Group2_vs_Group1	Solobacterium	9.471620729368149e-4	0.0021739562412768313	0.6046151331488111	1	1
Group2_vs_Group1	Holdemania	0	1.1360410424823188e-5	0	1	1
Group2_vs_Group1	Breznakia	2.1191089610952218e-5	5.395057344958333e-4	0.8026181822910611	1	1
Group2_vs_Group1	Faecalicoccus	2.1363659251133652e-5	7.532945204990095e-5	0.42266771261901936	1	1
Group2_vs_Group1	Catenisphaera	0.007472652401487892	0.018105379509889424	0.5544459007855774	0.252689937842314	1
Group2_vs_Group1	Mycoplasma	1.1484115171894235e-6	1.688945336639913e-5	0.3236672462349024	1	1
Group2_vs_Group1	Unclassified	1.598716646892828e-5	2.1414353489698964e-5	0.0013190040501982264	1	1
Group2_vs_Group1	TM7a	0	0.002371205106742538	0	1	1
Group2_vs_Group1	ZOR0006	8.461067245178038e-7	4.0553599161213234e-5	0.9324450187780398	1	1
Group2_vs_Group1	Lacticigenium	1.575794789928235e-4	2.3589266626372863e-5	-0.5818136317864984	1	1
Group2_vs_Group1	Alloiococcus	0	1.296453151156095e-4	0	1	1
Group2_vs_Group1	Desemzia	4.709297724769552e-4	0	NA	1	1
Group2_vs_Group1	Lactococcus	0	3.1356831247714146e-6	0	1	1
Group2_vs_Group1	Ligilactobacillus	6.402253292746844e-4	4.463649457355281e-4	-0.42621007400518046	1	1
Group2_vs_Group1	HT002	0.13009176385268034	0.09762375764056522	-0.7064950666649866	1	1
Group2_vs_Group1	Companilactobacillus	0	2.079110140859712e-6	0	1	1
Group2_vs_Group1	Ignavigranum	0.009000602709693028	0.003989927080545879	-0.2120346411818093	1	1
Group2_vs_Group1	Aerococcus	0.002933688902202673	0.006245957973869179	-0.012951800005575413	1	1
Group2_vs_Group1	Staphylococcus	0.0015949667913999893	0.004566396807887464	0.20025692264253764	0.7170534520191472	1
Group2_vs_Group1	Salinicoccus	1.96197813820729e-4	5.8673562274526566e-5	-0.4254233601804252	1	1
Group2_vs_Group1	Corticicoccus	7.498487100456898e-5	1.5558886624073096e-5	-0.07957550257067059	1	1
Group2_vs_Group1	Caryophanon	5.8134455120528554e-5	2.274880460141281e-4	0.033275114579136005	1	1
Group2_vs_Group1	Bacillus	3.845328270860072e-5	1.650074065321153e-5	0.08484401702940254	1	1
Group2_vs_Group1	Turicibacter	0.004400056183619599	0.004801588422593666	-0.2232320696803896	1	1
Group2_vs_Group1	Actinomyces	4.230533622589019e-7	2.566427269054486e-5	0.9353175234826392	1	1
Group2_vs_Group1	Rhodococcus	1.6535499464003464e-5	1.353544073616391e-5	-0.33598981194628913	1	1
Group2_vs_Group1	Dietzia	2.248031169628124e-4	3.458605495399782e-4	0.08272799495643969	0.8599296991418994	1
Group2_vs_Group1	Propioniciclava	0	1.939704556605846e-5	0	1	1
Group2_vs_Group1	Tessaracoccus	2.5678365349499673e-6	1.0306343168372333e-4	0.7988269974329782	1	1
Group2_vs_Group1	Arcanobacterium	0	1.9871110382379293e-5	0	1	1
Group2_vs_Group1	Knoellia	2.8655049211497733e-5	3.7408815983218293e-4	-0.02603460425830358	1	1
Group2_vs_Group1	Sanguibacter-Flavimobilis	3.89801768664016e-5	3.122010024096251e-4	0.9933031041381409	1	1
Group2_vs_Group1	Unclassified	0	1.798506871738768e-4	0	1	1
Group2_vs_Group1	Georgenia	5.1109681317512405e-5	1.4755209745761334e-5	-0.6654912123871605	1	1
Group2_vs_Group1	Brachybacterium	4.23437899949129e-4	3.6122455656357463e-4	-0.3198161955432138	0.48248346318218127	1
Group2_vs_Group1	Gulosibacter	0	8.719201956410141e-5	NA	1	1
